State,APM,APP,BP,LP,NNPP,SDP,YPP,ZLP,APGA,PDP,PRP,A,AA,NRM,AAC,ADC,ADP,APC,Total Votes,Registered Voters
Abia,608,672,348,327095,1239,144,1861,1039,3943,22676,97,213,109,138,179,522,240,8914,370037,2120808
Adamawa,650,372,522,105648,8006,1944,958,2257,887,417611,701,654,536,1563,646,3398,1906,182881,731140,2196566
Akwa Ibom,599,325,524,132683,7796,583,27179,4124,783,214012,343,860,289,667,626,2265,811,160620,555089,2357418
Anambra,325,148,514,584621,1967,84,1997,1420,7388,9036,62,343,108,118,112,208,299,5111,613861,2656437
Bauchi,489,215,224,27373,72103,924,645,896,906,426607,1824,237,399,1062,180,1291,1447,316694,853516,2749268
Bayelsa,130,96,116,49975,540,689,166,728,330,68818,65,156,22,125,56,589,152,42572,165325,1056862
Benue,501,218,714,308372,4740,895,239,3523,3605,130081,477,698,337,484,628,2648,1447,310468,770075,2777727
Borno,584,538,207,7205,4626,406,416,567,1211,190921,620,541,915,770,349,1654,1475,252282,465287,2513281
Cross River,535,252,414,179917,1644,290,422,1533,618,95425,822,425,221,371,406,2268,885,130520,416968,1766466
Delta,1028,493,1016,341866,3122,3071,605,3324,3746,161600,342,979,229,988,357,1604,788,90183,615341,3221697
Ebonyi,367,182,342,259738,1661,150,197,925,4120,13503,83,178,248,187,264,477,327,42402,325351,1597646
Edo,661,324,993,331163,2743,296,406,4082,960,89585,216,739,329,393,530,2306,1069,144471,581266,2501081
Ekiti,46,91,46,11397,264,2011,81,460,268,89554,48,69,29,131,108,1337,735,201494,308169,987647
Enugu,351,209,504,428640,1808,103,290,1089,1548,15749,95,165,77,414,128,282,200,4772,456424,2112793
Federal Capital Territory,297,146,748,281717,4517,233,335,2631,1362,74194,131,490,506,294,215,768,585,90902,460071,1570307
Gombe,348,208,210,26160,10520,137,439,969,558,319123,384,284,296,1061,158,1446,765,146977,510043,1575794
Imo,405,197,619,360495,1552,363,325,1747,2562,30234,144,611,289,167,227,770,267,66406,467380,2419922
Jigawa,814,288,217,1889,98234,532,2773,1211,1040,386587,468,450,249,1200,483,1139,288,421390,919252,2351298
Kaduna,1072,454,776,294494,92969,414,1633,2351,1599,554360,1969,505,1357,1540,480,2815,2072,399293,1360153,4335208
Kano,3170,533,364,28513,997279,504,9429,1790,1253,131716,1987,347,729,1540,551,2845,2602,506412,1691564,5921370
Katsina,603,269,327,6376,69386,339,1029,371,1391,489045,1986,255,523,1053,234,1405,1798,482283,1058673,3516719
Kebbi,567,338,272,10682,5038,1126,392,460,1014,285175,2027,301,306,1405,243,837,1251,248088,559522,2032041
Kogi,303,145,174,56217,4238,394,202,1155,706,145104,711,343,140,391,243,4669,904,240751,456790,1932654
Kwara,368,454,188,31166,3141,22738,2114,1170,722,136909,355,1335,145,466,257,3007,1128,263572,469235,1695927
Lagos,709,371,1837,582454,8442,770,1109,9964,2316,75750,1120,3069,498,609,1597,5789,2439,572606,1271449,7060195
Nasarawa,356,187,340,191361,12715,8046,249,2660,989,147093,317,494,554,405,117,973,788,172922,540566,1899244
Niger,598,302,303,80452,21836,520,591,2432,2539,284898,2534,463,752,1032,264,1656,2313,375183,778668,2698344
Ogun,6012,326,374,85829,2200,738,366,2393,934,123831,536,1153,331,542,923,10529,1734,341554,580305,2688305
Ondo,319,235,200,47350,930,1291,340,4758,1206,115463,240,130,50,347,890,5612,1266,369924,550551,1991344
Osun,291,149,206,23283,713,225,347,1121,613,354366,277,1006,129,623,402,3988,1519,343945,733203,1954800
Oyo,462,1985,363,99110,4095,14517,572,2891,1368,182977,433,39514,1124,659,1153,6080,2298,449884,809485,3276675
Plateau,380,260,1008,466272,8869,879,623,2886,883,243808,49201,539,342,955,420,1728,1922,307195,1088170,2789528
Rivers,579,849,451,175071,1322,10514,797,5963,1468,88468,275,1875,321,888,443,1823,953,231591,523651,3537190
Sokoto,273,219,126,6568,1300,120,175,208,808,288679,324,115,110,681,128,486,1105,285444,586869,2172056
Taraba,471,384,376,146315,12818,4000,313,1994,4526,189017,579,309,387,609,291,1089,715,135165,499358,2022374
Yobe,472,256,149,2406,18270,192,630,407,875,198567,265,312,915,672,221,1034,1295,151459,378397,1485146
Zamfara,218,149,44,1660,4044,81,355,142,921,193978,266,122,210,801,99,582,855,298396,502923,1926870
